name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher,Artist
"_____ Goblin",3,"Creature - Goblin Guest",R,"unf","107",common,Red,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Chuck Lukacs"
"Abeyance",2,"Instant",W,"wth","1",rare,null,Owned,Non-foil,mainboard,false,,,"","",9353,false,false,"Thomas Gianni"
"Abrade",2,"Instant",R,"soa","102",common,Red,Owned,Non-foil,mainboard,false,,,"","",148511,false,false,"Hagiya Kaoru"
"Ad Nauseam",5,"Instant",B,"soa","90",rare,Black,Owned,Non-foil,mainboard,false,,,"","",148487,false,false,"Sawaki Takeyasu"
"Aftermath Analyst",2,"Creature - Elf Detective",G,"mkm","148",uncommon,Green,Owned,Non-foil,mainboard,false,,,"","",121772,false,false,"Danny Schwartz"
"Agate Instigator",2,"Creature - Lizard Rogue",R,"blc","21",rare,Red,Owned,Non-foil,mainboard,false,,,"","",128941,false,false,"Quintin Gleim"
"Agatha's Soul Cauldron",2,"Legendary Artifact",,"woe","242",mythic,Colorless,Proxied,Non-foil,mainboard,false,,,"","",116872,false,false,"Jason A. Engle"
"Agent of Acquisitions",2,"Artifact Creature - Construct",,"cns","54",uncommon,Colorless,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Eytan Zana"
"Aggravated Assault",3,"Enchantment",R,"wot","39",rare,Red,Owned,Non-foil,mainboard,false,,,"","",115902,false,false,"Maihope"
"Akroma, Vision of Ixidor",7,"Legendary Creature - Angel",W,"cmr","2",mythic,null,Owned,Non-foil,mainboard,false,,,"","",84786,false,false,"Chris Rahn"
"Akroma's Will",4,"Instant",W,"cmr","3",rare,White,Owned,Non-foil,mainboard,false,,,"","",84788,false,false,"Antonio José Manzanedo"
"Altar of Dementia",2,"Artifact",,"brr","3",mythic,Colorless,Owned,Non-foil,mainboard,false,,,"","",104424,false,false,"Brom"
"An Offer You Can't Refuse",1,"Instant",U,"snc","51",uncommon,Blue,Owned,Non-foil,mainboard,false,,,"","",98321,false,false,"Dallas Williams"
"Ancient Tomb",0,"Land",,"uma","236",uncommon,Lands,Proxied,Non-foil,mainboard,false,,,"","",70055,false,false,"Yeong-Hao Han"
"Angel's Grace",1,"Instant",W,"soa","67",rare,White,Owned,Non-foil,mainboard,false,,,"","",148441,false,false,"TAKUMI"
"Anger",4,"Creature - Incarnation",R,"m3c","208",uncommon,Red,Owned,Non-foil,mainboard,false,,,"","",126957,false,false,"Svetlin Velinov"
"Animar, Soul of Elements",3,"Legendary Creature - Elemental",GRU,"2x2","171",mythic,Multicolored,Owned,Non-foil,mainboard,false,,,"","",101826,false,false,"Filip Burburan"
"Animate Dead",2,"Enchantment - Aura",B,"5ed","140",uncommon,Black,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Anson Maddocks"
"Animate Spell",1,"Enchantment - Aura",U,"cmb2","16",rare,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Alli Steele"
"Apex Devastator",10,"Creature - Chimera Hydra",G,"cmr","217",mythic,Green,Owned,Non-foil,mainboard,false,,,"","",85216,false,false,"Svetlin Velinov"
"Appa, Steadfast Guardian",4,"Legendary Creature - Bison Ally",W,"tla","10",mythic,null,Owned,Non-foil,mainboard,false,,,"","",144496,false,false,"Maël Ollivier-Henry"
"Approach of the Second Sun",7,"Sorcery",W,"sta","64",rare,White,Owned,Non-foil,mainboard,false,,,"","",99527,false,false,"Nagano"
"Arcane Savant",5,"Creature - Human Wizard",U,"cn2","27",rare,Blue,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Chris Rallis"
"Archon of Emeria",3,"Creature - Archon",W,"znr","4",rare,White,Owned,Non-foil,mainboard,false,,,"","",82943,false,false,"Ryan Pancoast"
"Armageddon",4,"Sorcery",W,"soa","68",rare,White,Owned,Non-foil,mainboard,false,,,"","",148443,false,false,"Amayagido"
"Armix, Filigree Thrasher",3,"Legendary Artifact Creature - Golem",B,"cmr","108",uncommon,Black,Owned,Non-foil,mainboard,false,,,"","",84998,false,false,"Daniel Ljunggren"
"Ashiok, Dream Render",3,"Legendary Planeswalker - Ashiok",BU,"war","228",rare,Multicolored,Owned,Non-foil,mainboard,false,,,"","",72062,false,false,"Cynthia Sheppard"
"Ashnod's Altar",3,"Artifact",,"brr","4",uncommon,Colorless,Owned,Non-foil,mainboard,false,,,"","",104426,false,false,"Greg Staples"
"Assassin's Trophy",2,"Instant",BG,"grn","152",rare,Multicolored,Owned,Non-foil,mainboard,false,,,"","",69677,false,false,"Seb McKinnon"
"Atraxa, Grand Unifier",7,"Legendary Creature - Phyrexian Angel",BGUW,"one","196",mythic,Multicolored,Owned,Foil,mainboard,false,,,"","",106607,false,false,"Marta Nael"
"Aura Shards",3,"Enchantment",GW,"inv","233",uncommon,Multicolored,Owned,Non-foil,mainboard,false,,,"","",14325,false,false,"Ron Spencer"
"Auriok Salvagers",4,"Creature - Human Soldier",W,"2xm","6",uncommon,White,Owned,Non-foil,mainboard,false,,,"","",82046,false,false,"Randy Gallegos"
"Avacyn, Angel of Hope",8,"Legendary Creature - Angel",W,"cmm","14",mythic,White,Owned,Non-foil,mainboard,false,,,"","",115127,false,false,"Jason Chan"
"Avacyn's Pilgrim",1,"Creature - Human Monk",G,"mic","132",common,Multicolored,Owned,Non-foil,mainboard,false,,,"","",93680,false,false,"Jana Schirmer & Johannes Voss"
"Avatar of Growth",6,"Creature - Elemental Avatar",G,"gnt","5",mythic,Green,Proxied,Non-foil,mainboard,false,,,"","",-1,false,false,"Grzegorz Rutkowski"
"Azorius Signet",2,"Artifact",UW,"ncc","361",uncommon,Multicolored,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Raoul Vitale"
"Backdraft Hellkite",5,"Creature - Dragon",R,"2x2","103",rare,null,Owned,Non-foil,mainboard,false,,,"","",101690,false,false,"Rudy Siswanto"
"Badgermole Cub",2,"Creature - Badger Mole",G,"tla","167",mythic,null,Proxied,Non-foil,mainboard,false,,,"","",144818,false,false,"Nathaniel Himawan"
"Balance",2,"Sorcery",W,"ema","2",mythic,White,Owned,Non-foil,mainboard,false,,,"","",60981,false,false,"Kev Walker"
"Basalt Monolith",3,"Artifact",,"2xm","232",uncommon,Colorless,Owned,Non-foil,mainboard,false,,,"","",82498,false,false,"Yeong-Hao Han"
"Bazaar of Baghdad",0,"Land",,"vma","294",uncommon,Lands,Proxied,Non-foil,mainboard,false,,,"","",53233,false,false,"Christopher Moeller"
"Bello, Bard of the Brambles",3,"Legendary Creature - Raccoon Bard",GR,"blc","1",mythic,Multicolored,Owned,Non-foil,mainboard,false,,,"","",128991,false,false,"Slawomir Maniak"
"Beseech the Mirror",4,"Sorcery",B,"woe","82",mythic,Black,Owned,Non-foil,mainboard,false,,,"","",116474,false,false,"Cynthia Sheppard"
"Birds of Paradise",1,"Creature - Bird",G,"rav","153",rare,Green,Owned,Non-foil,mainboard,false,,,"","",23054,false,false,"Marcelo Vignali"
"Birgi, God of Storytelling",3,"Legendary Creature - God",R,"khm","123",rare,Red,Owned,Non-foil,mainboard,false,,,"","",87579,false,false,"Eric Deschamps"
"Birthing Pod",4,"Artifact",G,"nph","104",rare,Green,Owned,Non-foil,mainboard,false,,,"","",39796,false,false,"Daarken"
"Bjorna, Nightfall Alchemist",2,"Legendary Creature - Human",RU,"slx","2",rare,null,Owned,Non-foil,mainboard,false,,,"","",105931,false,false,"Jamroz Gary"
"Black Market Connections",3,"Enchantment",B,"acr","161",rare,Black,Proxied,Non-foil,mainboard,false,,,"","",127902,false,false,"Filipe Pagliuso"
"Blasting Station",3,"Artifact",,"5dn","107",uncommon,Colorless,Owned,Non-foil,mainboard,false,,,"","",20786,false,false,"Stephen Tappin"
"Blood Artist",2,"Creature - Vampire",B,"2x2","70",uncommon,Black,Owned,Non-foil,mainboard,false,,,"","",101624,false,false,"L.A. Draws"
"Bloom Tender",2,"Creature - Elf Druid",G,"2x2","138",rare,Green,Owned,Non-foil,mainboard,false,,,"","",101760,false,false,"Chippy"
"Bolas's Citadel",6,"Legendary Artifact",B,"war","79",rare,Black,Owned,Non-foil,mainboard,false,,,"","",71764,false,false,"Jonas De Ro"
"Bonders' Enclave",0,"Land",,"j22","811",rare,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Cliff Childs"
"Booster Tutor",1,"Instant",B,"und","33",uncommon,Black,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Heather Hudson"
"Boros Signet",2,"Artifact",RW,"rvr","251",uncommon,Multicolored,Owned,Non-foil,mainboard,false,,,"","",121069,false,false,"Greg Hildebrandt"
"Boseiju, Who Endures",0,"Legendary Land",G,"neo","266",rare,Lands,Proxied,Non-foil,mainboard,false,,,"","",97482,false,false,"Chris Ostrowski"
"Brain Freeze",2,"Instant",U,"soa","78",uncommon,Blue,Owned,Non-foil,mainboard,false,,,"","",148463,false,false,"Yu-ki Nishimoto"
"Breach the Multiverse",7,"Sorcery",B,"mom","94",rare,null,Owned,Non-foil,mainboard,false,,,"","",110024,false,false,"Liiga Smilshkalne"
"Breena, the Demagogue",3,"Legendary Creature - Bird Warlock",BW,"c21","1",mythic,Multicolored,Owned,Foil,mainboard,false,,,"","",89245,false,false,"Simon Dominic"
"Brightglass Gearhulk",4,"Artifact Creature - Construct",GW,"dft","191",mythic,Multicolored,Owned,Non-foil,mainboard,false,,,"","",136505,false,false,"José Parodi"
"Brigid, Clachan's Heart",3,"Legendary Creature - Kithkin Warrior",GW,"ecl","7",rare,null,Owned,Non-foil,mainboard,false,,,"","",146393,false,false,"Zoltan Boros"
"Buried Alive",3,"Sorcery",B,"mh3","273",uncommon,Black,Owned,Non-foil,mainboard,false,,,"","",125957,false,false,"Greg Staples"
"Burnt Offering",1,"Instant",BR,"ice","116",common,Multicolored,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Daniel Gelon"
